chrom	start	end	source_id	gene_symbol	reference_coordinates_and_list	reference_original_25_icr_list	reference_gene_annotation
1	68050134	68050420	Known_ICR_1	GNG12-AS1/DIRAS3	Sanchez-Delgado M, Court F, Vidal-Bralo L, et al. Genomic map of candidate human imprint control regions: the imprintome. Epigenetics. 2022;17(13):2181-2197. PMID: 35786392. Data: https://humanicr.org/ (known_ICR_25 track).	Skaar DA, Li Y, Bernal AJ, Hoyo C, Murphy SK, Jirtle RL. The human imprintome: regulatory mechanisms, methods of ascertainment, and roles in disease susceptibility. ILAR J. 2012;53(3-4):341-358. PMID: 23744971.	UCSC Genome Browser REST API, hg38 ncbiRefSeq track. https://api.genome.ucsc.edu
2	112784453	112784903	Known_ICR_2	IL1A	Sanchez-Delgado M, Court F, Vidal-Bralo L, et al. Genomic map of candidate human imprint control regions: the imprintome. Epigenetics. 2022;17(13):2181-2197. PMID: 35786392. Data: https://humanicr.org/ (known_ICR_25 track).	Skaar DA, Li Y, Bernal AJ, Hoyo C, Murphy SK, Jirtle RL. The human imprintome: regulatory mechanisms, methods of ascertainment, and roles in disease susceptibility. ILAR J. 2012;53(3-4):341-358. PMID: 23744971.	UCSC Genome Browser REST API, hg38 ncbiRefSeq track. https://api.genome.ucsc.edu
4	88697612	88698006	Known_ICR_3	HERC3/NAP1L5	Sanchez-Delgado M, Court F, Vidal-Bralo L, et al. Genomic map of candidate human imprint control regions: the imprintome. Epigenetics. 2022;17(13):2181-2197. PMID: 35786392. Data: https://humanicr.org/ (known_ICR_25 track).	Skaar DA, Li Y, Bernal AJ, Hoyo C, Murphy SK, Jirtle RL. The human imprintome: regulatory mechanisms, methods of ascertainment, and roles in disease susceptibility. ILAR J. 2012;53(3-4):341-358. PMID: 23744971.	UCSC Genome Browser REST API, hg38 ncbiRefSeq track. https://api.genome.ucsc.edu
6	3849341	3849634	Known_ICR_4	FAM50B/LOC107986557	Sanchez-Delgado M, Court F, Vidal-Bralo L, et al. Genomic map of candidate human imprint control regions: the imprintome. Epigenetics. 2022;17(13):2181-2197. PMID: 35786392. Data: https://humanicr.org/ (known_ICR_25 track).	Skaar DA, Li Y, Bernal AJ, Hoyo C, Murphy SK, Jirtle RL. The human imprintome: regulatory mechanisms, methods of ascertainment, and roles in disease susceptibility. ILAR J. 2012;53(3-4):341-358. PMID: 23744971.	UCSC Genome Browser REST API, hg38 ncbiRefSeq track. https://api.genome.ucsc.edu
6	144007338	144007723	Known_ICR_5	PLAGL1/HYMAI	Sanchez-Delgado M, Court F, Vidal-Bralo L, et al. Genomic map of candidate human imprint control regions: the imprintome. Epigenetics. 2022;17(13):2181-2197. PMID: 35786392. Data: https://humanicr.org/ (known_ICR_25 track).	Skaar DA, Li Y, Bernal AJ, Hoyo C, Murphy SK, Jirtle RL. The human imprintome: regulatory mechanisms, methods of ascertainment, and roles in disease susceptibility. ILAR J. 2012;53(3-4):341-358. PMID: 23744971.	UCSC Genome Browser REST API, hg38 ncbiRefSeq track. https://api.genome.ucsc.edu
7	50782995	50783385	Known_ICR_6	GRB10	Sanchez-Delgado M, Court F, Vidal-Bralo L, et al. Genomic map of candidate human imprint control regions: the imprintome. Epigenetics. 2022;17(13):2181-2197. PMID: 35786392. Data: https://humanicr.org/ (known_ICR_25 track).	Skaar DA, Li Y, Bernal AJ, Hoyo C, Murphy SK, Jirtle RL. The human imprintome: regulatory mechanisms, methods of ascertainment, and roles in disease susceptibility. ILAR J. 2012;53(3-4):341-358. PMID: 23744971.	UCSC Genome Browser REST API, hg38 ncbiRefSeq track. https://api.genome.ucsc.edu
7	94656558	94656724	Known_ICR_7	PEG10	Sanchez-Delgado M, Court F, Vidal-Bralo L, et al. Genomic map of candidate human imprint control regions: the imprintome. Epigenetics. 2022;17(13):2181-2197. PMID: 35786392. Data: https://humanicr.org/ (known_ICR_25 track).	Skaar DA, Li Y, Bernal AJ, Hoyo C, Murphy SK, Jirtle RL. The human imprintome: regulatory mechanisms, methods of ascertainment, and roles in disease susceptibility. ILAR J. 2012;53(3-4):341-358. PMID: 23744971.	UCSC Genome Browser REST API, hg38 ncbiRefSeq track. https://api.genome.ucsc.edu
7	94658189	94658602	Known_ICR_8	PEG10	Sanchez-Delgado M, Court F, Vidal-Bralo L, et al. Genomic map of candidate human imprint control regions: the imprintome. Epigenetics. 2022;17(13):2181-2197. PMID: 35786392. Data: https://humanicr.org/ (known_ICR_25 track).	Skaar DA, Li Y, Bernal AJ, Hoyo C, Murphy SK, Jirtle RL. The human imprintome: regulatory mechanisms, methods of ascertainment, and roles in disease susceptibility. ILAR J. 2012;53(3-4):341-358. PMID: 23744971.	UCSC Genome Browser REST API, hg38 ncbiRefSeq track. https://api.genome.ucsc.edu
7	130490832	130491197	Known_ICR_9	MESTIT1/MEST	Sanchez-Delgado M, Court F, Vidal-Bralo L, et al. Genomic map of candidate human imprint control regions: the imprintome. Epigenetics. 2022;17(13):2181-2197. PMID: 35786392. Data: https://humanicr.org/ (known_ICR_25 track).	Skaar DA, Li Y, Bernal AJ, Hoyo C, Murphy SK, Jirtle RL. The human imprintome: regulatory mechanisms, methods of ascertainment, and roles in disease susceptibility. ILAR J. 2012;53(3-4):341-358. PMID: 23744971.	UCSC Genome Browser REST API, hg38 ncbiRefSeq track. https://api.genome.ucsc.edu
8	1998745	2003509	Known_ICR_12	KBTBD11	Sanchez-Delgado M, Court F, Vidal-Bralo L, et al. Genomic map of candidate human imprint control regions: the imprintome. Epigenetics. 2022;17(13):2181-2197. PMID: 35786392. Data: https://humanicr.org/ (known_ICR_25 track).	Skaar DA, Li Y, Bernal AJ, Hoyo C, Murphy SK, Jirtle RL. The human imprintome: regulatory mechanisms, methods of ascertainment, and roles in disease susceptibility. ILAR J. 2012;53(3-4):341-358. PMID: 23744971.	UCSC Genome Browser REST API, hg38 ncbiRefSeq track. https://api.genome.ucsc.edu
